pfam_acc	evalue
zzz	PF10417.10	1
zzz	PF12574.9	1
zzz	PF09847.10	1
zzz	PF00244.21	1
zzz	PF16998.6	1
zzz	PF00389.31	1
zzz	PF02826.20	1
zzz	PF00198.24	1
zzz	PF16078.6	1
zzz	PF04029.15	1
zzz	PF16620.6	1
zzz	PF05635.12	1
zzz	PF08521.11	1
zzz	PF08793.11	1
zzz	PF11591.9	1
zzz	PF01257.20	1
zzz	PF08975.11	1
zzz	PF03390.16	1
zzz	PF03171.21	1
zzz	PF13532.7	1
zzz	PF13640.7	1
zzz	PF13661.7	1
zzz	PF13759.7	1
zzz	PF10014.10	1
zzz	PF13239.7	1
zzz	PF13563.7	1
zzz	PF03475.15	1
zzz	PF06983.14	1
zzz	PF06052.13	1
zzz	PF12578.9	1
zzz	PF17644.2	1
zzz	PF11330.9	1
zzz	PF00803.19	1
zzz	PF01073.20	1
zzz	PF06725.12	1
zzz	PF02829.15	1
zzz	PF10605.10	1
zzz	PF00725.23	1
zzz	PF02737.19	1
zzz	PF18321.2	1
zzz	PF16121.6	1
zzz	PF16122.6	1
zzz	PF04419.15	1
zzz	PF17947.2	1
zzz	PF03061.23	1
zzz	PF13279.7	1
zzz	PF13622.7	1
zzz	PF12729.8	1
zzz	PF04476.14	1
zzz	PF18671.2	1
zzz	PF17837.2	1
zzz	PF05902.14	1
zzz	PF01812.21	1
zzz	PF06189.13	1
zzz	PF09038.11	1
zzz	PF03491.14	1
zzz	PF07694.13	1
zzz	PF01367.21	1
zzz	PF02739.17	1
zzz	PF05761.15	1
zzz	PF02872.19	1
zzz	PF02096.21	1
zzz	PF01591.19	1
zzz	PF00393.20	1
zzz	PF02294.19	1
zzz	PF07698.12	1
zzz	PF07696.12	1
zzz	PF07695.12	1
zzz	PF07697.12	1
zzz	PF00001.22	1
zzz	PF00002.25	1
zzz	PF00003.23	1
zzz	PF13853.7	1
zzz	PF02949.21	1
zzz	PF08395.13	1
zzz	PF02117.17	1
zzz	PF10292.10	1
zzz	PF02175.17	1
zzz	PF10316.10	1
zzz	PF10317.10	1
zzz	PF10318.10	1
zzz	PF10327.10	1
zzz	PF10319.10	1
zzz	PF10320.10	1
zzz	PF10321.10	1
zzz	PF10322.10	1
zzz	PF10323.10	1
zzz	PF10324.10	1
zzz	PF10328.10	1
zzz	PF10325.10	1
zzz	PF10326.10	1
zzz	PF14402.7	1
zzz	PF17028.6	1
zzz	PF07388.12	1
zzz	PF07966.13	1
zzz	PF08792.11	1
zzz	PF00207.23	1
zzz	PF07703.15	1
zzz	PF07677.15	1
zzz	PF00004.30	1
zzz	PF09820.10	1
zzz	PF12846.8	1
zzz	PF13086.7	1
zzz	PF13087.7	1
zzz	PF13166.7	1
zzz	PF13173.7	1
zzz	PF13175.7	1
zzz	PF13191.7	1
zzz	PF13207.7	1
zzz	PF13238.7	1
zzz	PF13245.7	1
zzz	PF07724.15	1
zzz	PF13304.7	1
zzz	PF13401.7	1
zzz	PF13476.7	1
zzz	PF13479.7	1
zzz	PF13481.7	1
zzz	PF13500.7	1
zzz	PF13514.7	1
zzz	PF13521.7	1
zzz	PF13555.7	1
zzz	PF07726.12	1
zzz	PF13604.7	1
zzz	PF13614.7	1
zzz	PF13654.7	1
zzz	PF13671.7	1
zzz	PF13872.7	1
zzz	PF14516.7	1
zzz	PF07728.15	1
zzz	PF12774.8	1
zzz	PF12775.8	1
zzz	PF12780.8	1
zzz	PF12781.8	1
zzz	PF14363.7	1
zzz	PF16193.6	1
zzz	PF09821.10	1
zzz	PF17857.2	1
zzz	PF17872.2	1
zzz	PF18198.2	1
zzz	PF17863.2	1
zzz	PF17862.2	1
zzz	PF17864.2	1
zzz	PF17865.2	1
zzz	PF17866.2	1
zzz	PF17867.2	1
zzz	PF17868.2	1
zzz	PF17871.2	1
zzz	PF08298.12	1
zzz	PF18280.2	1
zzz	PF04611.13	1
zzz	PF03306.14	1
zzz	PF05282.12	1
zzz	PF08142.13	1
zzz	PF03417.17	1
zzz	PF07247.13	1
zzz	PF13339.7	1
zzz	PF00696.29	1
zzz	PF00324.22	1
zzz	PF13520.7	1
zzz	PF13906.7	1
zzz	PF08403.11	1
zzz	PF06684.12	1
zzz	PF01490.19	1
zzz	PF07336.12	1
zzz	PF12430.9	1
zzz	PF02496.17	1
zzz	PF14156.7	1
zzz	PF00950.18	1
zzz	PF03109.17	1
zzz	PF01061.25	1
zzz	PF12679.8	1
zzz	PF12698.8	1
zzz	PF12730.8	1
zzz	PF13346.7	1
zzz	PF06182.12	1
zzz	PF19055.1	1
zzz	PF09818.10	1
zzz	PF09819.10	1
zzz	PF16962.6	1
zzz	PF00664.24	1
zzz	PF06472.16	1
zzz	PF13748.7	1
zzz	PF04392.13	1
zzz	PF00005.28	1
zzz	PF09822.10	1
zzz	PF03886.14	1
zzz	PF06541.12	1
zzz	PF14510.7	1
zzz	PF16949.6	1
zzz	PF16326.6	1
zzz	PF12848.8	1
zzz	PF12407.9	1
zzz	PF05270.14	1
zzz	PF18225.2	1
zzz	PF03806.14	1
zzz	PF00561.21	1
zzz	PF02230.17	1
zzz	PF07859.14	1
zzz	PF08386.11	1
zzz	PF12695.8	1
zzz	PF12697.8	1
zzz	PF12715.8	1
zzz	PF06259.13	1
zzz	PF10081.10	1
zzz	PF15420.7	1
zzz	PF04083.17	1
zzz	PF08843.12	1
zzz	PF09407.11	1
zzz	PF09952.10	1
zzz	PF11459.9	1
zzz	PF17194.5	1
zzz	PF13338.7	1
zzz	PF10899.9	1
zzz	PF16873.6	1
zzz	PF14253.7	1
zzz	PF18860.2	1
zzz	PF18863.2	1
zzz	PF18865.2	1
zzz	PF18864.2	1
zzz	PF07751.12	1
zzz	PF14337.7	1
zzz	PF14355.7	1
zzz	PF07815.15	1
zzz	PF16182.6	1
zzz	PF03992.17	1
zzz	PF09441.11	1
zzz	PF05145.13	1
zzz	PF14250.7	1
zzz	PF18277.2	1
zzz	PF07280.12	1
zzz	PF05814.12	1
zzz	PF05820.12	1
zzz	PF16177.6	1
zzz	PF13000.8	1
zzz	PF00887.20	1
zzz	PF03255.15	1
zzz	PF08326.13	1
zzz	PF13822.7	1
zzz	PF16671.6	1
zzz	PF14733.7	1
zzz	PF06315.12	1
zzz	PF00871.18	1
zzz	PF09290.12	1
zzz	PF08882.12	1
zzz	PF02550.16	1
zzz	PF13336.7	1
zzz	PF00583.26	1
zzz	PF13673.8	1
zzz	PF13720.7	1
zzz	PF13880.7	1
zzz	PF03421.17	1
zzz	PF17013.6	1
zzz	PF05301.12	1
zzz	PF17668.2	1
zzz	PF18014.2	1
zzz	PF18015.2	1
zzz	PF00797.18	1
zzz	PF13302.8	1
zzz	PF13420.8	1
zzz	PF13444.7	1
zzz	PF13480.8	1
zzz	PF13508.8	1
zzz	PF13523.7	1
zzz	PF13527.8	1
zzz	PF14542.7	1
zzz	PF08674.11	1
zzz	PF15270.7	1
zzz	PF03767.15	1
zzz	PF12689.8	1
zzz	PF05054.13	1
zzz	PF04412.14	1
zzz	PF00330.21	1
zzz	PF06434.14	1
zzz	PF11791.9	1
zzz	PF00694.20	1
zzz	PF01756.20	1
zzz	PF06857.12	1
zzz	PF05777.13	1
zzz	PF06313.12	1
zzz	PF01648.21	1
zzz	PF04336.13	1
zzz	PF08545.11	1
zzz	PF08541.11	1
zzz	PF10766.10	1
zzz	PF00873.20	1
zzz	PF01842.26	1
zzz	PF09192.11	1
zzz	PF05058.13	1
zzz	PF16102.6	1
zzz	PF00976.19	1
zzz	PF00022.20	1
zzz	PF14408.7	1
zzz	PF17003.6	1
zzz	PF11657.9	1
zzz	PF11498.9	1
zzz	PF01064.24	1
zzz	PF16840.6	1
zzz	PF10000.10	1
zzz	PF13291.7	1
zzz	PF13710.7	1
zzz	PF13740.7	1
zzz	PF13840.7	1
zzz	PF18859.2	1
zzz	PF01643.18	1
zzz	PF00441.25	1
zzz	PF08028.12	1
zzz	PF12806.8	1
zzz	PF02770.20	1
zzz	PF02771.17	1
zzz	PF14749.7	1
zzz	PF12590.9	1
zzz	PF12186.9	1
zzz	PF12418.9	1
zzz	PF00708.19	1
zzz	PF01553.22	1
zzz	PF16076.6	1
zzz	PF02551.16	1
zzz	PF00698.22	1
zzz	PF02273.16	1
zzz	PF01757.23	1
zzz	PF18883.1	1
zzz	PF16214.6	1
zzz	PF09793.10	1
zzz	PF10198.10	1
zzz	PF16698.6	1
zzz	PF08516.13	1
zzz	PF17771.2	1
zzz	PF05986.15	1
zzz	PF10199.10	1
zzz	PF01602.21	1
zzz	PF00928.22	1
zzz	PF02805.17	1
zzz	PF06314.12	1
zzz	PF17981.2	1
zzz	PF17980.2	1
zzz	PF13382.7	1
zzz	PF03352.14	1
zzz	PF04008.15	1
zzz	PF02438.17	1
zzz	PF03052.16	1
zzz	PF02703.15	1
zzz	PF01691.17	1
zzz	PF01696.18	1
zzz	PF04623.13	1
zzz	PF06040.12	1
zzz	PF05248.13	1
zzz	PF03376.15	1
zzz	PF04834.13	1
zzz	PF03307.15	1
zzz	PF02440.16	1
zzz	PF02439.16	1
zzz	PF05385.12	1
zzz	PF04528.14	1
zzz	PF06931.12	1
zzz	PF04881.14	1
zzz	PF01065.20	1
zzz	PF03678.15	1
zzz	PF02456.16	1
zzz	PF00541.18	1
zzz	PF01686.18	1
zzz	PF03955.15	1
zzz	PF03910.14	1
zzz	PF01310.19	1
zzz	PF05829.13	1
zzz	PF00608.18	1
zzz	PF02459.16	1
zzz	PF03228.15	1
zzz	PF16579.6	1
zzz	PF01295.19	1
zzz	PF00709.22	1
zzz	PF12633.8	1
zzz	PF04439.13	1
zzz	PF16812.6	1
zzz	PF09085.11	1
zzz	PF04619.13	1
zzz	PF16747.6	1
zzz	PF03257.14	1
zzz	PF18652.2	1
zzz	PF08240.13	1
zzz	PF16884.6	1
zzz	PF13823.7	1
zzz	PF00106.26	1
zzz	PF13561.7	1
zzz	PF00107.27	1
zzz	PF13602.7	1
zzz	PF11559.9	1
zzz	PF15202.7	1
zzz	PF06377.12	1
zzz	PF00406.23	1
zzz	PF05191.15	1
zzz	PF05221.18	1
zzz	PF00670.22	1
zzz	PF08132.12	1
zzz	PF02675.16	1
zzz	PF07757.14	1
zzz	PF01941.20	1
zzz	PF03496.15	1
zzz	PF18648.2	1
zzz	PF04587.16	1
zzz	PF03747.15	1
zzz	PF10397.10	1
zzz	PF08509.12	1
zzz	PF16701.6	1
zzz	PF06355.14	1
zzz	PF17049.6	1
zzz	PF01117.21	1
zzz	PF05110.14	1
zzz	PF18876.1	1
zzz	PF14591.7	1
zzz	PF14556.7	1
zzz	PF18875.1	1
zzz	PF05775.13	1
zzz	PF15339.7	1
zzz	PF03969.17	1
zzz	PF07792.13	1
zzz	PF08493.11	1
zzz	PF01314.19	1
zzz	PF02730.16	1
zzz	PF02420.16	1
zzz	PF18815.2	1
zzz	PF03756.14	1
zzz	PF08731.12	1
zzz	PF11786.9	1
zzz	PF11787.9	1
zzz	PF11785.9	1
zzz	PF12249.9	1
zzz	PF12250.9	1
zzz	PF04671.13	1
zzz	PF17366.3	1
zzz	PF17992.2	1
zzz	PF05641.13	1
zzz	PF07468.12	1
zzz	PF18021.2	1
zzz	PF17558.3	1
zzz	PF17998.2	1
zzz	PF18079.2	1
zzz	PF09171.11	1
zzz	PF05039.13	1
zzz	PF10427.10	1
zzz	PF18236.2	1
zzz	PF18351.2	1
zzz	PF18309.2	1
zzz	PF06376.13	1
zzz	PF18723.2	1
zzz	PF18724.2	1
zzz	PF18746.2	1
zzz	PF04647.16	1
zzz	PF19188.1	1
zzz	PF05931.12	1
zzz	PF04730.13	1
zzz	PF18134.2	1
zzz	PF11440.9	1
zzz	PF06396.12	1
zzz	PF09229.12	1
zzz	PF17793.2	1
zzz	PF14412.7	1
zzz	PF18743.2	1
zzz	PF17327.3	1
zzz	PF00578.22	1
zzz	PF13911.7	1
zzz	PF08327.12	1
zzz	PF09236.11	1
zzz	PF01594.17	1
zzz	PF15334.7	1
zzz	PF01808.19	1
zzz	PF18767.2	1
zzz	PF16168.6	1
zzz	PF14186.7	1
zzz	PF08910.11	1
zzz	PF18158.2	1
zzz	PF14962.7	1
zzz	PF14721.7	1
zzz	PF04548.17	1
zzz	PF13772.7	1
zzz	PF06316.12	1
zzz	PF10315.10	1
zzz	PF11489.9	1
zzz	PF01987.18	1
zzz	PF17096.6	1
zzz	PF17050.6	1
zzz	PF16780.6	1
zzz	PF03915.14	1
zzz	PF10592.10	1
zzz	PF00731.21	1
zzz	PF00586.25	1
zzz	PF02769.23	1
zzz	PF15298.7	1
zzz	PF14469.7	1
zzz	PF15304.7	1
zzz	PF10469.10	1
zzz	PF10470.10	1
zzz	PF04988.13	1
zzz	PF05716.14	1
zzz	PF12443.9	1
zzz	PF00490.22	1
zzz	PF01262.22	1
zzz	PF05222.16	1
zzz	PF06610.14	1
zzz	PF11839.9	1
zzz	PF00842.22	1
zzz	PF01168.21	1
zzz	PF09135.12	1
zzz	PF01918.22	1
zzz	PF04326.15	1
zzz	PF08027.12	1
zzz	PF16720.6	1
zzz	PF17527.3	1
zzz	PF11606.9	1
zzz	PF00171.23	1
zzz	PF01081.20	1
zzz	PF00596.22	1
zzz	PF01263.21	1
zzz	PF00248.22	1
zzz	PF11266.9	1
zzz	PF01315.23	1
zzz	PF02738.19	1
zzz	PF03752.14	1
zzz	PF12165.9	1
zzz	PF15924.6	1
zzz	PF08660.12	1
zzz	PF05208.14	1
zzz	PF03155.16	1
zzz	PF11182.9	1
zzz	PF13372.7	1
zzz	PF05426.13	1
zzz	PF08787.12	1
zzz	PF16822.6	1
zzz	PF13949.7	1
zzz	PF06029.12	1
zzz	PF14864.7	1
zzz	PF14863.7	1
zzz	PF00245.21	1
zzz	PF03561.16	1
zzz	PF05953.13	1
zzz	PF06351.12	1
zzz	PF05549.12	1
zzz	PF04864.14	1
zzz	PF15309.7	1
zzz	PF18727.2	1
zzz	PF11744.9	1
zzz	PF04030.15	1
zzz	PF06401.12	1
zzz	PF06400.12	1
zzz	PF00128.25	1
zzz	PF02806.19	1
zzz	PF02903.15	1
zzz	PF09071.11	1
zzz	PF07821.13	1
zzz	PF04168.13	1
zzz	PF14456.7	1
zzz	PF06964.13	1
zzz	PF09261.12	1
zzz	PF08829.11	1
zzz	PF17480.3	1
zzz	PF02883.21	1
zzz	PF02296.17	1
zzz	PF01589.17	1
zzz	PF00943.20	1
zzz	PF01563.17	1
zzz	PF03229.14	1
